Step Id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
4,4294967295,25996,2,trans_TransData_0,TransData,dynamic,AI_VECTOR_CORE,1772175691712480.560	,408.12,0,32,0,NO,"""128,3,299,299""",FLOAT,NCHW,"""128,1,299,299,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.487,23125649,55.92,0.139,18.138,0.045,323.541,0.806,300.607,0.749,0.002,0
4,4294967295,25997,2,trans_TransData_1,TransData,dynamic,AI_VECTOR_CORE,1772175691712888.720	,13.38,0.04,4,0,NO,"""32,3,3,3""",FLOAT,NCHW,"""9,2,16,8""",FLOAT,FRACTAL_Z,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56,90435,0.491,0.039,6.117,0.487,0.251,0.02,0.14,0.011,0.149,0
4,4294967295,25998,2,Conv2D1,Conv2D,dynamic,AI_CORE,1772175691712902.120	,649.54,0.02,20,0,YES,"""128,1,299,299,8;9,2,16,8""",FLOAT;FLOAT,NC1HWC0;FRACTAL_Z,"""128,4,149,149,8""",FLOAT,NC1HWC0,N/A,599.068,21566447,155.876,0.26,235.453,0.393,279.108,0.466,497.365,0.83,532.693,0.889,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.23
4,4294967295,25999,2,trans_TransData_2,TransData,dynamic,AI_VECTOR_CORE,1772175691713551.700	,604.48,0.04,32,0,NO,"""128,4,149,149,8""",FLOAT,NC1HWC0,"""128,32,149,149""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.143,34049858,53.207,0.09,16.394,0.028,324.123,0.548,207.234,0.351,0.003,0
4,4294967295,26000,2,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1772175691714156.200	,3.18,0.02,1,0,NO,""";""",INT64;INT64,FORMAT_ND;FORMAT_ND,"""""",INT64,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.592,4666,0.293,0.113,0.796,0.307,0.27,0.104,0.099,0.038,0.238,0
4,4294967295,26001,2,aclnnBatchNorm_BNTrainingReduce_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1772175691714159.540	,15.6,0.16,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.612,836050,0.014,0.001,0.603,0.052,0.612,0.053,0.007,0.001,0.456,0
4,4294967295,26002,2,aclnnBatchNorm_BNTrainingReduce_BNTrainingReduce,BNTrainingReduce,dynamic,AI_VECTOR_CORE,1772175691714175.180	,531.66,0.04,32,0,NO,"""128,32,149,149""",FLOAT,NCHW,"""1,32,1,1;1,32,1,1""",FLOAT;FLOAT,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.884,30348495,252.382,0.479,41.266,0.078,231.782,0.44,0.206,0.0,0.002,0
4,4294967295,26003,2,aclnnBatchNorm_BNTrainingUpdate_BNTrainingUpdate,BNTrainingUpdate,dynamic,AI_VECTOR_CORE,1772175691714706.880	,586.56,0.04,40,0,NO,"""128,32,149,149;1,32,1,1;1,32,1,1;1,32,1,1;1,32,1,1;1,32,1,1;1,32,1,1""",FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW;NCHW;NCHW;NCHW;NCHW,"""128,32,149,149;1,32,1,1;1,32,1,1;1,32,1,1;1,32,1,1""",FLOAT;FLOAT;FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW;NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.901,41752878,257.868,0.445,63.205,0.109,437.79,0.755,237.167,0.409,0.002,0
4,4294967295,26004,2,aclnnInplaceRelu_Relu_Relu,Relu,dynamic,AI_VECTOR_CORE,1772175691715293.480	,526.82,0.04,40,0,NO,"""128,32,149,149""",FLOAT,NCHW,"""128,32,149,149""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.745,37637614,22.566,0.043,6.901,0.013,518.841,0.993,190.666,0.365,0.003,0
4,4294967295,26005,2,trans_TransData_3,TransData,dynamic,AI_VECTOR_CORE,1772175691715820.320	,696.3,0.02,32,0,NO,"""128,32,149,149""",FLOAT,NCHW,"""128,4,149,149,8""",FLOAT,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.25,38779205,40.407,0.06,16.888,0.025,627.046,0.931,149.26,0.222,0.003,0
