,Type,Duration(ms)
0,Conv_Forward,1.6787
1,BNTraining_Forward,1.1338199999999998
2,Relu,0.5268200000000001
3,Conv_Forward,2.1310400000000005
4,BNTraining_Forward,1.13712
5,Relu,0.51146
6,Conv_Forward,2.99316
7,BatchNormV3,1.9109800000000001
8,Relu,1.06662
9,MaxPool_Forward,5.91006
10,Conv_Forward,0.9913799999999999
11,BNTraining_Forward,0.76246
12,Relu,0.29162
13,Conv_Forward,2.8800599999999994
14,BNTraining_Forward,1.7806799999999998
15,Relu,0.73888
16,MaxPool_Forward,4.346940000000001
17,Conv_Forward,0.34503999999999996
18,BNTraining_Forward,0.19451999999999997
19,Relu,0.02014
20,Conv_Forward,0.3847400000000001
21,BNTraining_Forward,0.15580000000000002
22,Relu,0.01704
23,Conv_Forward,0.38432000000000005
24,BNTraining_Forward,0.18402
25,Relu,0.02014
26,Conv_Forward,0.40623999999999993
27,BNTraining_Forward,0.18494
28,Relu,0.02038
29,Conv_Forward,0.26856
30,BNTraining_Forward,0.26274000000000003
31,Relu,0.027239999999999997
32,Conv_Forward,0.35656
33,BNTraining_Forward,0.265
34,Relu,0.027559999999999998
35,AvgPool_Forward,0.9786200000000002
36,Conv_Forward,0.1762
37,BNTraining_Forward,0.11294
38,Relu,0.01292
39,ConcatD,0.34314
40,Conv_Forward,0.49232000000000004
41,BNTraining_Forward,0.18492000000000003
42,Relu,0.02042
43,Conv_Forward,0.5162
44,BNTraining_Forward,0.16038
45,Relu,0.01668
46,Conv_Forward,0.38416
47,BNTraining_Forward,0.18266
48,Relu,0.020399999999999998
49,Conv_Forward,0.6023600000000001
50,BNTraining_Forward,0.18424000000000001
51,Relu,0.02026
52,Conv_Forward,0.265
53,BNTraining_Forward,0.26366
54,Relu,0.02702
55,Conv_Forward,0.35872000000000004
56,BNTraining_Forward,0.26316
57,Relu,0.02718
58,AvgPool_Forward,1.3431399999999998
59,Conv_Forward,0.53528
60,BNTraining_Forward,0.18574000000000002
61,Relu,0.020079999999999997
62,ConcatD,0.30913999999999997
63,Conv_Forward,0.56826
64,BNTraining_Forward,0.18372
65,Relu,0.02014
66,Conv_Forward,0.5617399999999999
67,BNTraining_Forward,0.15419999999999998
68,Relu,0.0166
69,Conv_Forward,0.38362000000000007
70,BNTraining_Forward,0.183
71,Relu,0.0201
72,Conv_Forward,0.6380200000000001
73,BNTraining_Forward,0.18422
74,Relu,0.01968
75,Conv_Forward,0.26512
76,BNTraining_Forward,0.26322
77,Relu,0.02886
78,Conv_Forward,0.35794
79,BNTraining_Forward,0.26452
80,Relu,0.027280000000000002
81,AvgPool_Forward,1.4929
82,Conv_Forward,0.5902000000000001
83,BNTraining_Forward,0.18466
84,Relu,0.019760000000000003
85,ConcatD,0.30644
86,Conv_Forward,1.4480000000000002
87,BNTraining_Forward,0.27276
88,Relu,0.02644
89,Conv_Forward,0.62312
90,BNTraining_Forward,0.18469999999999998
91,Relu,0.020399999999999998
92,Conv_Forward,0.26621999999999996
93,BNTraining_Forward,0.27242
94,Relu,0.02748
95,Conv_Forward,0.172
96,BNTraining_Forward,0.1013
97,Relu,0.0109
98,MaxPool_Forward,2.04042
99,ConcatD,0.14006
100,Conv_Forward,0.5369200000000001
101,BNTraining_Forward,0.16138
102,Relu,0.016079999999999997
103,Conv_Forward,0.46908000000000005
104,BNTraining_Forward,0.121
105,Relu,0.01316
106,Conv_Forward,0.19963999999999998
107,BNTraining_Forward,0.11603999999999999
108,Relu,0.012580000000000001
109,Conv_Forward,0.2684
110,BNTraining_Forward,0.15878
111,Relu,0.015960000000000002
112,Conv_Forward,0.46630000000000005
113,BNTraining_Forward,0.12312
114,Relu,0.01242
115,Conv_Forward,0.20096
116,BNTraining_Forward,0.11847999999999999
117,Relu,0.012240000000000001
118,Conv_Forward,0.20348
119,BNTraining_Forward,0.11675999999999999
120,Relu,0.01252
121,Conv_Forward,0.20044
122,BNTraining_Forward,0.11716
123,Relu,0.01282
124,Conv_Forward,0.26286000000000004
125,BNTraining_Forward,0.16007999999999997
126,Relu,0.016399999999999998
127,AvgPool_Forward,0.86978
128,Conv_Forward,0.49305999999999994
129,BNTraining_Forward,0.16060000000000002
130,Relu,0.0162
131,ConcatD,0.24653999999999998
132,Conv_Forward,0.5416799999999999
133,BNTraining_Forward,0.16122
134,Relu,0.016120000000000002
135,Conv_Forward,0.8653000000000001
136,BNTraining_Forward,0.1357
137,Relu,0.01416
138,Conv_Forward,0.28254
139,BNTraining_Forward,0.13313999999999998
140,Relu,0.01468
141,Conv_Forward,0.31292000000000003
142,BNTraining_Forward,0.15869999999999998
143,Relu,0.01616
144,Conv_Forward,0.87234
145,BNTraining_Forward,0.13534
146,Relu,0.013900000000000001
147,Conv_Forward,0.28614
148,BNTraining_Forward,0.1362
149,Relu,0.01388
150,Conv_Forward,0.28414
151,BNTraining_Forward,0.13777999999999999
152,Relu,0.014320000000000001
153,Conv_Forward,0.29236
154,BNTraining_Forward,0.13439999999999996
155,Relu,0.01474
156,Conv_Forward,0.30866
157,BNTraining_Forward,0.15866
158,Relu,0.016
159,AvgPool_Forward,0.87046
160,Conv_Forward,0.48938000000000004
161,BNTraining_Forward,0.16182
162,Relu,0.01622
163,ConcatD,0.24246
164,Conv_Forward,0.5403000000000001
165,BNTraining_Forward,0.16324
166,Relu,0.016120000000000002
167,Conv_Forward,0.8695
168,BNTraining_Forward,0.13388
169,Relu,0.014199999999999999
170,Conv_Forward,0.2858
