ID,Type,Duration(ms)
0,Conv_Forward,0.136422
1,BNTraining_Forward,0.087182
2,Relu,0.012240000000000001
3,MaxPool_Forward,0.22046499999999997
4,Conv_Forward,0.04348
5,BNTraining_Forward,0.074582
7,Conv_Forward,0.066721
8,BNTraining_Forward,0.072381
10,Conv_Forward,0.06776100000000002
11,BNTraining_Forward,0.134983
12,Conv_Forward,0.068062
13,BNTraining_Forward,0.13732299999999997
14,Add,0.0183
15,Relu,0.01326
16,Conv_Forward,0.056421
17,BNTraining_Forward,0.07286100000000001
19,Conv_Forward,0.06664
20,BNTraining_Forward,0.072262
22,Conv_Forward,0.0675
23,BNTraining_Forward,0.133602
24,Add,0.0154
25,Relu,0.01236
26,Conv_Forward,0.05568000000000001
27,BNTraining_Forward,0.075522
29,Conv_Forward,0.06238
30,BNTraining_Forward,0.07248
32,Conv_Forward,0.066381
33,BNTraining_Forward,0.133962
34,Add,0.01566
35,Relu,0.011980000000000001
36,Conv_Forward,0.068981
37,BNTraining_Forward,0.10054300000000001
39,Conv_Forward,0.10712099999999998
40,BNTraining_Forward,0.088882
42,Conv_Forward,0.096843
43,BNTraining_Forward,0.26710500000000004
44,Conv_Forward,0.135023
45,BNTraining_Forward,0.267505
46,Add,0.01302
47,Relu,0.00924
48,Conv_Forward,0.086862
49,BNTraining_Forward,0.08990199999999998
51,Conv_Forward,0.103802
52,BNTraining_Forward,0.09206199999999999
54,Conv_Forward,0.09164200000000002
55,BNTraining_Forward,0.279245
56,Add,0.01246
57,Relu,0.0092
58,Conv_Forward,0.086582
59,BNTraining_Forward,0.089142
61,Conv_Forward,0.10396300000000001
62,BNTraining_Forward,0.094982
64,Conv_Forward,0.090421
65,BNTraining_Forward,0.267765
66,Add,0.01276
67,Relu,0.00928
68,Conv_Forward,0.085821
69,BNTraining_Forward,0.089342
71,Conv_Forward,0.10412300000000001
72,BNTraining_Forward,0.08956200000000002
74,Conv_Forward,0.092042
75,BNTraining_Forward,0.268805
76,Add,0.012580000000000001
77,Relu,0.009460000000000001
78,Conv_Forward,0.08422199999999999
79,BNTraining_Forward,0.090822
81,Conv_Forward,0.102642
82,BNTraining_Forward,0.089122
84,Conv_Forward,0.092041
85,BNTraining_Forward,0.26784499999999994
86,Add,0.01234
87,Relu,0.00926
88,Conv_Forward,0.08604099999999998
89,BNTraining_Forward,0.08952199999999999
91,Conv_Forward,0.103702
92,BNTraining_Forward,0.089422
94,Conv_Forward,0.091841
95,BNTraining_Forward,0.268365
96,Add,0.01256
97,Relu,0.00922
98,Conv_Forward,0.085942
99,BNTraining_Forward,0.089922
101,Conv_Forward,0.103661
102,BNTraining_Forward,0.09120199999999999
104,Conv_Forward,0.091441
105,BNTraining_Forward,0.266945
106,Add,0.015601
107,Relu,0.01038
108,Conv_Forward,0.085863
109,BNTraining_Forward,0.089342
111,Conv_Forward,0.10384099999999999
112,BNTraining_Forward,0.08964099999999998
114,Conv_Forward,0.092061
115,BNTraining_Forward,0.267546
116,Add,0.012320000000000001
117,Relu,0.00928
118,Conv_Forward,0.115962
119,BNTraining_Forward,0.17444300000000001
121,Conv_Forward,0.259445
122,BNTraining_Forward,0.142743
124,Conv_Forward,0.17094299999999998
125,BNTraining_Forward,0.5815509999999999
126,Conv_Forward,0.249745
127,BNTraining_Forward,0.5803309999999999
128,Add,0.009779999999999999
129,Relu,0.00786
130,Conv_Forward,0.16946300000000003
131,BNTraining_Forward,0.142643
133,Conv_Forward,0.256964
134,BNTraining_Forward,0.14224199999999998
136,Conv_Forward,0.163743
137,BNTraining_Forward,0.580251
138,Add,0.00956
139,Relu,0.0077599999999999995
140,Conv_Forward,0.168283
141,BNTraining_Forward,0.143922
143,Conv_Forward,0.255945
144,BNTraining_Forward,0.142602
146,Conv_Forward,0.163802
147,BNTraining_Forward,0.579611
148,Add,0.009519999999999999
149,Relu,0.00766
150,Conv_Forward,0.169103
151,BNTraining_Forward,0.142642
153,Conv_Forward,0.256324
154,BNTraining_Forward,0.146483
156,Conv_Forward,0.17092400000000002
157,BNTraining_Forward,0.5809310000000001
158,Add,0.009640000000000001
159,Relu,0.0078
160,Conv_Forward,0.17002399999999998
161,BNTraining_Forward,0.14240199999999997
163,Conv_Forward,0.254806
164,BNTraining_Forward,0.14528300000000002
166,Conv_Forward,0.16370400000000002
167,BNTraining_Forward,0.5916310000000001
168,Add,0.00956
169,Relu,0.00786
170,Conv_Forward,0.167843
171,BNTraining_Forward,0.142342
173,Conv_Forward,0.259606
174,BNTraining_Forward,0.14202299999999998
176,Conv_Forward,0.16334300000000002
177,BNTraining_Forward,0.5811510000000001
178,Add,0.009779999999999999
179,Relu,0.00792
180,Conv_Forward,0.16886400000000004
181,BNTraining_Forward,0.14166199999999998
183,Conv_Forward,0.256366
184,BNTraining_Forward,0.14362300000000003
186,Conv_Forward,0.16252300000000003
187,BNTraining_Forward,0.580651
188,Add,0.00974
189,Relu,0.007980000000000001
190,Conv_Forward,0.169264
191,BNTraining_Forward,0.14468199999999998
193,Conv_Forward,0.256625
194,BNTraining_Forward,0.14214300000000002
196,Conv_Forward,0.163562
197,BNTraining_Forward,0.580471
198,Add,0.009640000000000001
199,Relu,0.00792
200,Conv_Forward,0.170083
201,BNTraining_Forward,0.14316199999999998
203,Conv_Forward,0.257345
204,BNTraining_Forward,0.143043
206,Conv_Forward,0.163923
207,BNTraining_Forward,0.580631
208,Add,0.009800000000000001
209,Relu,0.0077599999999999995
210,Conv_Forward,0.170263
211,BNTraining_Forward,0.142083
213,Conv_Forward,0.257185
214,BNTraining_Forward,0.142482
216,Conv_Forward,0.16394399999999998
217,BNTraining_Forward,0.586411
218,Add,0.012320000000000001
219,Relu,0.00992
220,Conv_Forward,0.169863
221,BNTraining_Forward,0.142662
223,Conv_Forward,0.25682499999999997
224,BNTraining_Forward,0.142662
226,Conv_Forward,0.16528299999999999
227,BNTraining_Forward,0.5801510000000001
228,Add,0.00968
229,Relu,0.0077800000000000005
230,Conv_Forward,0.168784
231,BNTraining_Forward,0.142742
233,Conv_Forward,0.25772500000000004
234,BNTraining_Forward,0.142703
236,Conv_Forward,0.164364
237,BNTraining_Forward,0.581111
238,Add,0.00968
239,Relu,0.007719999999999999
240,Conv_Forward,0.169863
241,BNTraining_Forward,0.14250200000000002
243,Conv_Forward,0.254584
244,BNTraining_Forward,0.141882
246,Conv_Forward,0.165003
247,BNTraining_Forward,0.580052
248,Add,0.00966
249,Relu,0.00774
250,Conv_Forward,0.168403
251,BNTraining_Forward,0.142322
253,Conv_Forward,0.257784
254,BNTraining_Forward,0.142182
256,Conv_Forward,0.16342399999999999
257,BNTraining_Forward,0.581711
258,Add,0.009640000000000001
259,Relu,0.0078
