,Type,Duration(us),Name
0,Conv_Forward,136.422,Conv_Forward
1,BNTraining_Forward,87.182,BNTraining_Forward
2,Relu,12.24,
3,MaxPool_Forward,220.46499999999997,MaxPool_Forward
4,Conv_Forward,43.48,Conv_Forward
5,BNTraining_Forward,74.582,BNTraining_Forward
6,Relu,7.78,
7,Conv_Forward,66.721,Conv_Forward
8,BNTraining_Forward,72.381,BNTraining_Forward
9,Relu,7.92,
10,Conv_Forward,67.76100000000001,Conv_Forward
11,BNTraining_Forward,134.983,BNTraining_Forward
12,Conv_Forward,68.062,Conv_Forward
13,BNTraining_Forward,137.32299999999998,BNTraining_Forward
14,Add,18.3,
15,Relu,13.26,
16,Conv_Forward,56.421,Conv_Forward
17,BNTraining_Forward,72.861,BNTraining_Forward
18,Relu,8.0,
19,Conv_Forward,66.64,Conv_Forward
20,BNTraining_Forward,72.262,BNTraining_Forward
21,Relu,7.86,
22,Conv_Forward,67.5,Conv_Forward
23,BNTraining_Forward,133.602,BNTraining_Forward
24,Add,15.4,
25,Relu,12.36,
26,Conv_Forward,55.68000000000001,Conv_Forward
27,BNTraining_Forward,75.522,BNTraining_Forward
28,Relu,7.84,
29,Conv_Forward,62.379999999999995,Conv_Forward
30,BNTraining_Forward,72.48,BNTraining_Forward
31,Relu,7.88,
32,Conv_Forward,66.381,Conv_Forward
33,BNTraining_Forward,133.962,BNTraining_Forward
34,Add,15.66,
35,Relu,11.98,
36,Conv_Forward,68.981,Conv_Forward
37,BNTraining_Forward,100.543,BNTraining_Forward
38,Relu,9.3,
39,Conv_Forward,107.12099999999998,Conv_Forward
40,BNTraining_Forward,88.882,BNTraining_Forward
41,Relu,7.76,
42,Conv_Forward,96.843,Conv_Forward
43,BNTraining_Forward,267.105,BNTraining_Forward
44,Conv_Forward,135.023,Conv_Forward
45,BNTraining_Forward,267.505,BNTraining_Forward
46,Add,13.02,
47,Relu,9.24,
48,Conv_Forward,86.862,Conv_Forward
49,BNTraining_Forward,89.90199999999999,BNTraining_Forward
50,Relu,7.4,
51,Conv_Forward,103.802,Conv_Forward
52,BNTraining_Forward,92.062,BNTraining_Forward
53,Relu,7.58,
54,Conv_Forward,91.64200000000001,Conv_Forward
55,BNTraining_Forward,279.245,BNTraining_Forward
56,Add,12.46,
57,Relu,9.2,
58,Conv_Forward,86.58200000000001,Conv_Forward
59,BNTraining_Forward,89.142,BNTraining_Forward
60,Relu,7.56,
61,Conv_Forward,103.96300000000001,Conv_Forward
62,BNTraining_Forward,94.982,BNTraining_Forward
63,Relu,7.54,
64,Conv_Forward,90.421,Conv_Forward
65,BNTraining_Forward,267.765,BNTraining_Forward
66,Add,12.76,
67,Relu,9.28,
68,Conv_Forward,85.821,Conv_Forward
69,BNTraining_Forward,89.342,BNTraining_Forward
70,Relu,7.44,
71,Conv_Forward,104.123,Conv_Forward
72,BNTraining_Forward,89.56200000000001,BNTraining_Forward
73,Relu,7.48,
74,Conv_Forward,92.042,Conv_Forward
75,BNTraining_Forward,268.805,BNTraining_Forward
76,Add,12.58,
77,Relu,9.46,
78,Conv_Forward,84.222,Conv_Forward
79,BNTraining_Forward,90.822,BNTraining_Forward
80,Relu,7.48,
81,Conv_Forward,102.642,Conv_Forward
82,BNTraining_Forward,89.122,BNTraining_Forward
83,Relu,7.5,
84,Conv_Forward,92.041,Conv_Forward
85,BNTraining_Forward,267.84499999999997,BNTraining_Forward
86,Add,12.34,
87,Relu,9.26,
88,Conv_Forward,86.04099999999998,Conv_Forward
89,BNTraining_Forward,89.52199999999999,BNTraining_Forward
90,Relu,7.48,
91,Conv_Forward,103.702,Conv_Forward
92,BNTraining_Forward,89.422,BNTraining_Forward
93,Relu,7.44,
94,Conv_Forward,91.84100000000001,Conv_Forward
95,BNTraining_Forward,268.365,BNTraining_Forward
96,Add,12.56,
97,Relu,9.22,
98,Conv_Forward,85.94200000000001,Conv_Forward
99,BNTraining_Forward,89.922,BNTraining_Forward
100,Relu,7.86,
101,Conv_Forward,103.661,Conv_Forward
102,BNTraining_Forward,91.202,BNTraining_Forward
103,Relu,7.58,
104,Conv_Forward,91.44099999999999,Conv_Forward
105,BNTraining_Forward,266.945,BNTraining_Forward
106,Add,15.601,
107,Relu,10.38,
108,Conv_Forward,85.863,Conv_Forward
109,BNTraining_Forward,89.342,BNTraining_Forward
110,Relu,7.54,
111,Conv_Forward,103.841,Conv_Forward
112,BNTraining_Forward,89.64099999999999,BNTraining_Forward
113,Relu,7.58,
114,Conv_Forward,92.061,Conv_Forward
115,BNTraining_Forward,267.546,BNTraining_Forward
116,Add,12.32,
117,Relu,9.28,
118,Conv_Forward,115.96199999999999,Conv_Forward
119,BNTraining_Forward,174.443,BNTraining_Forward
120,Relu,7.82,
121,Conv_Forward,259.445,Conv_Forward
122,BNTraining_Forward,142.743,BNTraining_Forward
123,Relu,7.12,
124,Conv_Forward,170.94299999999998,Conv_Forward
125,BNTraining_Forward,581.5509999999999,BNTraining_Forward
126,Conv_Forward,249.745,Conv_Forward
127,BNTraining_Forward,580.3309999999999,BNTraining_Forward
128,Add,9.78,
129,Relu,7.86,
130,Conv_Forward,169.46300000000002,Conv_Forward
131,BNTraining_Forward,142.643,BNTraining_Forward
132,Relu,7.1,
133,Conv_Forward,256.964,Conv_Forward
134,BNTraining_Forward,142.242,BNTraining_Forward
135,Relu,7.08,
136,Conv_Forward,163.743,Conv_Forward
137,BNTraining_Forward,580.251,BNTraining_Forward
138,Add,9.56,
139,Relu,7.76,
140,Conv_Forward,168.283,Conv_Forward
141,BNTraining_Forward,143.922,BNTraining_Forward
142,Relu,7.06,
143,Conv_Forward,255.945,Conv_Forward
144,BNTraining_Forward,142.602,BNTraining_Forward
145,Relu,7.26,
146,Conv_Forward,163.802,Conv_Forward
147,BNTraining_Forward,579.611,BNTraining_Forward
148,Add,9.52,
149,Relu,7.66,
150,Conv_Forward,169.103,Conv_Forward
151,BNTraining_Forward,142.642,BNTraining_Forward
152,Relu,7.1,
153,Conv_Forward,256.324,Conv_Forward
154,BNTraining_Forward,146.483,BNTraining_Forward
155,Relu,7.14,
156,Conv_Forward,170.924,Conv_Forward
157,BNTraining_Forward,580.931,BNTraining_Forward
158,Add,9.64,
159,Relu,7.8,
160,Conv_Forward,170.02399999999997,Conv_Forward
161,BNTraining_Forward,142.402,BNTraining_Forward
162,Relu,7.22,
163,Conv_Forward,254.80599999999998,Conv_Forward
164,BNTraining_Forward,145.28300000000002,BNTraining_Forward
165,Relu,7.44,
166,Conv_Forward,163.704,Conv_Forward
167,BNTraining_Forward,591.6310000000001,BNTraining_Forward
168,Add,9.56,
169,Relu,7.86,
170,Conv_Forward,167.843,Conv_Forward
171,BNTraining_Forward,142.34199999999998,BNTraining_Forward
172,Relu,7.12,
173,Conv_Forward,259.606,Conv_Forward
174,BNTraining_Forward,142.023,BNTraining_Forward
175,Relu,7.08,
176,Conv_Forward,163.34300000000002,Conv_Forward
177,BNTraining_Forward,581.1510000000001,BNTraining_Forward
178,Add,9.78,
179,Relu,7.92,
180,Conv_Forward,168.86400000000003,Conv_Forward
181,BNTraining_Forward,141.66199999999998,BNTraining_Forward
182,Relu,8.18,
183,Conv_Forward,256.366,Conv_Forward
184,BNTraining_Forward,143.62300000000002,BNTraining_Forward
185,Relu,7.3,
186,Conv_Forward,162.52300000000002,Conv_Forward
187,BNTraining_Forward,580.6510000000001,BNTraining_Forward
188,Add,9.74,
189,Relu,7.98,
190,Conv_Forward,169.264,Conv_Forward
191,BNTraining_Forward,144.682,BNTraining_Forward
192,Relu,7.2,
193,Conv_Forward,256.625,Conv_Forward
194,BNTraining_Forward,142.14300000000003,BNTraining_Forward
195,Relu,7.08,
196,Conv_Forward,163.562,Conv_Forward
197,BNTraining_Forward,580.471,BNTraining_Forward
198,Add,9.64,
199,Relu,7.92,
200,Conv_Forward,170.083,Conv_Forward
201,BNTraining_Forward,143.16199999999998,BNTraining_Forward
202,Relu,7.1,
203,Conv_Forward,257.34499999999997,Conv_Forward
204,BNTraining_Forward,143.043,BNTraining_Forward
205,Relu,7.06,
206,Conv_Forward,163.923,Conv_Forward
207,BNTraining_Forward,580.631,BNTraining_Forward
208,Add,9.8,
209,Relu,7.76,
210,Conv_Forward,170.263,Conv_Forward
211,BNTraining_Forward,142.083,BNTraining_Forward
212,Relu,7.44,
213,Conv_Forward,257.185,Conv_Forward
214,BNTraining_Forward,142.482,BNTraining_Forward
215,Relu,7.16,
216,Conv_Forward,163.944,Conv_Forward
217,BNTraining_Forward,586.4110000000001,BNTraining_Forward
218,Add,12.32,
219,Relu,9.92,
220,Conv_Forward,169.863,Conv_Forward
221,BNTraining_Forward,142.662,BNTraining_Forward
222,Relu,7.06,
223,Conv_Forward,256.825,Conv_Forward
224,BNTraining_Forward,142.662,BNTraining_Forward
225,Relu,7.2,
226,Conv_Forward,165.283,Conv_Forward
227,BNTraining_Forward,580.1510000000001,BNTraining_Forward
228,Add,9.68,
229,Relu,7.78,
230,Conv_Forward,168.784,Conv_Forward
231,BNTraining_Forward,142.74200000000002,BNTraining_Forward
232,Relu,7.08,
233,Conv_Forward,257.725,Conv_Forward
234,BNTraining_Forward,142.703,BNTraining_Forward
235,Relu,8.44,
236,Conv_Forward,164.364,Conv_Forward
237,BNTraining_Forward,581.111,BNTraining_Forward
238,Add,9.68,
239,Relu,7.72,
240,Conv_Forward,169.863,Conv_Forward
241,BNTraining_Forward,142.502,BNTraining_Forward
242,Relu,7.08,
243,Conv_Forward,254.584,Conv_Forward
244,BNTraining_Forward,141.882,BNTraining_Forward
245,Relu,7.12,
246,Conv_Forward,165.00300000000001,Conv_Forward
247,BNTraining_Forward,580.052,BNTraining_Forward
248,Add,9.66,
249,Relu,7.74,
250,Conv_Forward,168.403,Conv_Forward
251,BNTraining_Forward,142.322,BNTraining_Forward
252,Relu,7.08,
253,Conv_Forward,257.784,Conv_Forward
254,BNTraining_Forward,142.18200000000002,BNTraining_Forward
255,Relu,7.12,
256,Conv_Forward,163.42399999999998,Conv_Forward
257,BNTraining_Forward,581.711,BNTraining_Forward
258,Add,9.64,
259,Relu,7.8,
260,Conv_Forward,168.823,Conv_Forward
261,BNTraining_Forward,143.003,BNTraining_Forward
262,Relu,7.28,
263,Conv_Forward,255.366,Conv_Forward
264,BNTraining_Forward,142.063,BNTraining_Forward
265,Relu,7.04,
266,Conv_Forward,164.603,Conv_Forward
267,BNTraining_Forward,580.692,BNTraining_Forward
268,Add,10.12,
269,Relu,7.62,
270,Conv_Forward,169.203,Conv_Forward
271,BNTraining_Forward,142.642,BNTraining_Forward
272,Relu,7.04,
273,Conv_Forward,257.985,Conv_Forward
274,BNTraining_Forward,142.582,BNTraining_Forward
275,Relu,7.08,
276,Conv_Forward,162.544,Conv_Forward
277,BNTraining_Forward,580.451,BNTraining_Forward
278,Add,9.64,
279,Relu,7.96,
280,Conv_Forward,169.24300000000002,Conv_Forward
281,BNTraining_Forward,142.18200000000002,BNTraining_Forward
282,Relu,7.08,
283,Conv_Forward,256.865,Conv_Forward
284,BNTraining_Forward,142.102,BNTraining_Forward
285,Relu,7.2,
286,Conv_Forward,164.80200000000002,Conv_Forward
287,BNTraining_Forward,580.832,BNTraining_Forward
288,Add,9.78,
289,Relu,8.0,
290,Conv_Forward,169.103,Conv_Forward
291,BNTraining_Forward,141.963,BNTraining_Forward
292,Relu,7.22,
293,Conv_Forward,257.40399999999994,Conv_Forward
294,BNTraining_Forward,142.742,BNTraining_Forward
295,Relu,7.1,
296,Conv_Forward,163.303,Conv_Forward
297,BNTraining_Forward,580.512,BNTraining_Forward
298,Add,9.6,
299,Relu,7.92,
