tensor_id,size_B,birth_kid,death_kid,hidden_interval_num,inactive_time
0,17281024,0,833,1,199755.0
1,44859392,0,831,1,198633.0
5,44859392,1,829,1,196936.0
11,44859392,1,831,1,198125.0
12,4096,1,831,1,198125.0
20,40140800,3,826,1,195739.0
24,40140800,4,824,1,194336.0
30,40140800,4,826,1,195339.0
31,4096,4,826,1,195339.0
39,80281600,6,821,1,191559.0
43,80281600,7,819,1,187689.0
49,80281600,7,821,1,190672.0
50,4096,7,821,1,190672.0
58,18939904,9,817,1,187450.0
60,23674880,10,815,1,186859.0
64,23674880,11,813,1,185409.0
70,23674880,11,815,1,186701.0
71,4096,11,815,1,186701.0
79,44236800,13,810,1,184103.0
83,44236800,14,808,1,181388.0
89,44236800,14,810,1,183321.0
90,4096,14,810,1,183321.0
98,9633792,16,805,6,162.603
100,3211264,17,803,1,180776.0
104,3211264,18,801,2,2687.32
110,3211264,18,803,1,180700.0
111,4096,18,803,1,180700.0
119,2408448,20,798,1,180091.0
122,9633792,799,806,1,456.891
123,2408448,21,796,1,179650.0
129,2408448,21,798,1,180027.0
130,4096,21,798,1,180027.0
138,3211264,23,793,1,179048.0
142,3211264,24,791,2,2038.74
148,3211264,24,793,1,178911.0
149,4096,24,793,1,178911.0
157,3211264,26,788,1,178016.0
160,9633792,789,806,1,1622.21
161,3211264,27,786,1,177395.0
167,3211264,27,788,1,177834.0
168,4096,27,788,1,177834.0
176,4816896,29,783,1,176937.0
180,4816896,30,781,1,176396.0
186,4816896,30,783,1,176838.0
187,4096,30,783,1,176838.0
195,4816896,32,778,1,175688.0
199,4816896,33,776,2,701.634
205,4816896,33,778,1,175591.0
206,4096,33,778,1,175591.0
214,9633792,35,774,1,174144.0
215,9633792,774,806,1,3616.32
216,1605632,36,772,1,173782.0
220,1605632,37,770,1,173612.0
226,1605632,37,772,1,173726.0
227,4096,37,772,1,173726.0
235,3211264,768,801,1,4287.47
236,3211264,768,791,1,3122.14
237,4816896,768,776,1,1128.04
239,12845056,39,767,6,107.323
240,3211264,40,765,1,172994.0
244,3211264,41,763,2,1951.72
250,3211264,41,765,1,172920.0
251,4096,41,765,1,172920.0
259,2408448,43,760,1,172225.0
262,12845056,761,768,1,426.948
263,2408448,44,758,1,171746.0
269,2408448,44,760,1,172155.0
270,4096,44,760,1,172155.0
278,3211264,46,755,1,171165.0
282,3211264,47,753,2,1316.55
288,3211264,47,755,1,171059.0
289,4096,47,755,1,171059.0
297,3211264,49,750,1,170186.0
300,12845056,751,768,1,1681.27
301,3211264,50,748,1,169779.0
307,3211264,50,750,1,170071.0
308,4096,50,750,1,170071.0
316,4816896,52,745,1,169287.0
320,4816896,53,743,1,168943.0
326,4816896,53,745,1,169187.0
327,4096,53,745,1,169187.0
335,4816896,55,740,1,168507.0
339,4816896,56,738,2,412.349
345,4816896,56,740,1,168408.0
346,4096,56,740,1,168408.0
354,12845056,58,736,1,167370.0
355,12845056,736,768,1,3373.98
356,3211264,59,734,1,166940.0
360,3211264,60,732,1,166774.0
366,3211264,60,734,1,166827.0
367,4096,60,734,1,166827.0
375,3211264,730,763,1,4100.82
376,3211264,730,753,1,2846.5
377,4816896,730,738,1,1153.78
379,14450688,62,729,6,96.243
380,3211264,63,727,1,166131.0
384,3211264,64,725,2,1506.51
390,3211264,64,727,1,166023.0
391,4096,64,727,1,166023.0
399,2408448,66,722,1,165330.0
402,14450688,723,730,1,562.992
403,2408448,67,720,1,164961.0
409,2408448,67,722,1,165268.0
410,4096,67,722,1,165268.0
418,3211264,69,717,1,164528.0
422,3211264,70,715,2,1103.52
428,3211264,70,717,1,164385.0
429,4096,70,717,1,164385.0
437,3211264,72,712,1,163587.0
440,14450688,713,730,1,1838.61
441,3211264,73,710,1,163282.0
447,3211264,73,712,1,163513.0
448,4096,73,712,1,163513.0
456,4816896,75,707,1,162895.0
460,4816896,76,705,1,162541.0
466,4816896,76,707,1,162792.0
467,4096,76,707,1,162792.0
475,4816896,78,702,1,162048.0
479,4816896,79,700,2,454.849
485,4816896,79,702,1,161873.0
486,4096,79,702,1,161873.0
494,14450688,81,698,1,160642.0
495,14450688,698,730,1,3643.45
496,3211264,82,696,1,160247.0
500,3211264,83,694,1,160104.0
506,3211264,83,696,1,160145.0
507,4096,83,696,1,160145.0
515,3211264,692,725,1,4326.18
516,3211264,692,715,1,3050.56
517,4816896,692,700,1,1245.72
519,14450688,85,691,5,310.546
520,3538944,86,689,1,157609.0
524,3538944,87,687,2,1290.23
530,3538944,87,689,1,157062.0
531,4096,87,689,1,157062.0
539,3211264,89,684,1,156271.0
542,14450688,685,692,1,2341.23
543,3211264,90,682,1,155913.0
549,3211264,90,684,1,156177.0
550,4096,90,684,1,156177.0
558,4816896,92,679,1,155520.0
562,4816896,93,677,1,154975.0
568,4816896,93,679,1,155363.0
569,4096,93,679,1,155363.0
577,884736,95,674,1,154473.0
581,884736,96,672,2,525.691
587,884736,96,674,1,154314.0
588,4096,96,674,1,154314.0
597,14450688,670,692,1,4209.1
598,3538944,669,687,1,4240.36
599,884736,669,672,1,2372.49
601,7077888,99,668,6,521.33
602,1769472,100,666,1,149627.0
606,1769472,101,664,2,4972.45
612,1769472,101,666,1,149471.0
613,4096,101,666,1,149471.0
621,1179648,103,661,1,148369.0
624,7077888,662,669,1,1089.46
625,1179648,104,659,1,147801.0
631,1179648,104,661,1,148233.0
632,4096,104,661,1,148233.0
640,1179648,106,656,1,147002.0
644,1179648,107,654,1,146368.0
650,1179648,107,656,1,146865.0
651,4096,107,656,1,146865.0
659,1769472,109,651,1,145805.0
663,1769472,110,649,2,3347.77
669,1769472,110,651,1,145644.0
670,4096,110,651,1,145644.0
678,1179648,112,646,1,144584.0
681,7077888,647,669,1,3296.49
682,1179648,113,644,1,144050.0
688,1179648,113,646,1,144367.0
689,4096,113,646,1,144367.0
697,1179648,115,641,1,143620.0
701,1179648,116,639,1,143046.0
707,1179648,116,641,1,143388.0
708,4096,116,641,1,143388.0
716,1179648,118,636,1,142425.0
720,1179648,119,634,1,142045.0
726,1179648,119,636,1,142283.0
727,4096,119,636,1,142283.0
735,1179648,121,631,1,141505.0
739,1179648,122,629,1,140585.0
745,1179648,122,631,1,141370.0
746,4096,122,631,1,141370.0
754,1769472,124,626,1,139688.0
758,1769472,125,624,2,950.939
764,1769472,125,626,1,139506.0
765,4096,125,626,1,139506.0
773,7077888,127,622,1,137567.0
774,7077888,622,669,1,7017.32
775,1769472,128,620,1,136900.0
779,1769472,129,618,1,136703.0
785,1769472,129,620,1,136737.0
786,4096,129,620,1,136737.0
794,1769472,616,664,1,7734.59
795,1769472,616,649,1,5527.57
796,1769472,616,624,1,1806.74
798,7077888,131,615,6,266.205
799,1769472,132,613,1,135052.0
803,1769472,133,611,2,5082.63
809,1769472,133,613,1,134898.0
810,4096,133,613,1,134898.0
818,1474560,135,608,1,133978.0
821,7077888,609,616,1,1178.5
822,1474560,136,606,1,133201.0
828,1474560,136,608,1,133688.0
829,4096,136,608,1,133688.0
837,1474560,138,603,1,132567.0
841,1474560,139,601,1,131949.0
847,1474560,139,603,1,132290.0
848,4096,139,603,1,132290.0
856,1769472,141,598,1,131164.0
860,1769472,142,596,2,3698.43
866,1769472,142,598,1,131002.0
867,4096,142,598,1,131002.0
875,1474560,144,593,1,129740.0
878,7077888,594,616,1,3690.29
879,1474560,145,591,1,129230.0
885,1474560,145,593,1,129578.0
886,4096,145,593,1,129578.0
894,1474560,147,588,1,128391.0
898,1474560,148,586,1,127951.0
904,1474560,148,588,1,128210.0
905,4096,148,588,1,128210.0
913,1474560,150,583,1,127219.0
917,1474560,151,581,1,126607.0
923,1474560,151,583,1,127071.0
924,4096,151,583,1,127071.0
932,1474560,153,578,1,125698.0
936,1474560,154,576,1,125201.0
942,1474560,154,578,1,125540.0
943,4096,154,578,1,125540.0
951,1769472,156,573,1,124420.0
955,1769472,157,571,2,1197.08
961,1769472,157,573,1,124246.0
962,4096,157,573,1,124246.0
970,7077888,159,569,1,121199.0
971,7077888,569,616,1,7948.59
972,1769472,160,567,1,120433.0
976,1769472,161,565,1,120212.0
982,1769472,161,567,1,120261.0
983,4096,161,567,1,120261.0
991,1769472,563,611,1,9532.6
992,1769472,563,596,1,7020.82
993,1769472,563,571,1,2762.52
995,7077888,163,562,6,328.786
996,1769472,164,560,1,119045.0
